Index,SPY,TLT,GLD,VXX,DBC
2009-12-24,90.0582928009,65.6710772817,108.36,33382.4,23.6457697067
2009-12-28,90.2504513203,65.4880679257,108.55,33392.64,24.0635051617
2009-12-29,90.1223456407,65.9186406258,107.47,33382.4,24.0149312716
2009-12-30,90.0903192208,66.3520742374,106.93,33976.32,23.9857869375
2009-12-31,89.2256058831,66.0361819442,107.31,34887.68,23.9177834914
2010-01-04,90.7388542241,65.977411285,109.8,33495.04,24.5200997288
2010-01-05,90.9790523734,66.4034985642,109.7,32860.16,24.5492440628
2010-01-06,91.0431052132,65.5145923438,111.51,31948.8,24.9864090738
2010-01-07,91.4274222522,65.6247873298,110.82,31047.68,24.6755361771
2010-01-08,91.7316732414,65.5954020002,111.37,30228.48,24.6561066211
2010-01-11,91.8597789211,65.2354317126,112.85,29675.52,24.5783883969
2010-01-12,91.0030721883,66.3520742374,110.49,30607.36,24.0537903837
2010-01-13,91.7717062663,65.5807093354,111.54,30177.28,24.0732199397
2010-01-14,92.0199110206,66.4990008854,112.03,29440,23.9469278254
2010-01-15,90.9870589784,66.9103954998,110.86,30218.24,23.6749140408
2010-01-19,92.1239968854,66.7193908574,111.52,28487.68,23.8303504892
2010-01-20,91.1872241029,67.3952534382,108.94,28477.44,23.3834707001
2010-01-21,89.4337776125,67.703799399,107.37,30023.68,23.0920273595
2010-01-22,87.4401329728,67.5862580806,107.17,32655.36,22.8491579089
2010-01-25,87.8885028516,67.2777121198,107.48,32348.16,22.9560204671
2010-01-26,87.5201990226,67.299751117,107.56,32481.28,22.7034362386
2010-01-27,87.9365424815,67.263019455,106.528,31744,22.3731337858
2010-01-28,86.9277102542,67.226287793,106.48,31764.48,22.2954155616
2010-01-29,85.9829308667,67.813994385,105.96,32399.36,22.042831333
2010-02-01,87.3200338981,67.2004198873,108.35,30883.84,22.5771441243
2010-02-02,88.3769057553,67.3921051223,109.13,29716.48,23.0628830254
